,Tanggal,Jam,DateTime,Coordinates,Lintang,Bujur,Magnitude,Kedalaman,Wilayah,Potensi
0,24 Mar 2024,18:53:55 WIB,2024-03-24T11:53:55+00:00,"-1.53,133.36",1.53 LS,133.36 BT,5.0,27 km,65 km BaratLaut TELUKBINTUNI-PAPUABRT,Tidak berpotensi tsunami
1,24 Mar 2024,10:04:10 WIB,2024-03-24T03:04:10+00:00,"-9.64,122.16",9.64 LS,122.16 BT,6.1,47 km,104 km Tenggara ENDE-NTT,Tidak berpotensi tsunami
2,23 Mar 2024,20:20:29 WIB,2024-03-23T13:20:29+00:00,"-4.66,102.72",4.66 LS,102.72 BT,5.6,27 km,31 km BaratDaya BENGKULUSELATAN,Tidak berpotensi tsunami
3,22 Mar 2024,15:52:58 WIB,2024-03-22T08:52:58+00:00,"-5.76,112.33",5.76 LS,112.33 BT,6.5,10 km,130 km TimurLaut TUBAN-JATIM,Tidak berpotensi tsunami
4,22 Mar 2024,12:31:12 WIB,2024-03-22T05:31:12+00:00,"-5.74,112.36",5.74 LS,112.36 BT,5.3,10 km,133 km TimurLaut TUBAN-JATIM,Tidak berpotensi tsunami
5,22 Mar 2024,11:22:45 WIB,2024-03-22T04:22:45+00:00,"-5.74,112.32",5.74 LS,112.32 BT,6.0,10 km,132 km TimurLaut TUBAN-JATIM,Tidak berpotensi tsunami
6,21 Mar 2024,07:19:14 WIB,2024-03-21T00:19:14+00:00,"-1.83,137.50",1.83 LS,137.50 BT,5.4,10 km,79 km BaratLaut KASONAWEJA-PAPUA,Tidak berpotensi tsunami
7,20 Mar 2024,15:24:57 WIB,2024-03-20T08:24:57+00:00,"-2.09,100.44",2.09 LS,100.44 BT,5.3,21 km,83 km BaratDaya PESISIRSELATAN-SUMBAR,Tidak berpotensi tsunami
8,18 Mar 2024,06:41:41 WIB,2024-03-17T23:41:41+00:00,"4.90,127.33",4.90 LU,127.33 BT,5.1,107 km,31 km TimurLaut PULAUKARATUNG-SULUT,Tidak berpotensi tsunami
9,14 Mar 2024,01:56:14 WIB,2024-03-13T18:56:14+00:00,"-0.21,125.24",0.21 LS,125.24 BT,6.2,10 km,128 km Tenggara TUTUYAN-BOLTIM-SULUT,Tidak berpotensi tsunami
10,13 Mar 2024,23:39:21 WIB,2024-03-13T16:39:21+00:00,"-6.58,129.99",6.58 LS,129.99 BT,5.2,182 km,212 km BaratLaut TANIMBAR,Tidak berpotensi tsunami
11,10 Mar 2024,17:20:34 WIB,2024-03-10T10:20:34+00:00,"-7.44,129.18",7.44 LS,129.18 BT,5.4,143 km,173 km TimurLaut MALUKUBRTDAYA,Tidak berpotensi tsunami
12,10 Mar 2024,10:05:04 WIB,2024-03-10T03:05:04+00:00,"-7.48,129.35",7.48 LS,129.35 BT,5.2,80 km,188 km TimurLaut MALUKUBRTDAYA,Tidak berpotensi tsunami
13,07 Mar 2024,06:57:00 WIB,2024-03-06T23:57:00+00:00,"-4.79,134.12",4.79 LS,134.12 BT,5.3,54 km,108 km BaratLaut KEP.ARU-MALUKU,Tidak berpotensi tsunami
14,05 Mar 2024,04:15:22 WIB,2024-03-04T21:15:22+00:00,"5.86,125.71",5.86 LU,125.71 BT,5.2,170 km,195 km BaratLaut PULAUKARATUNG-SULUT,Tidak berpotensi tsunami
